r(A) average_atoms
1.055000000000000071e+01 1.043169554103947849e+00
1.065000000000000213e+01 7.898608349900596792e+00
1.075000000000000178e+01 2.400454416358988929e+00
1.085000000000000142e+01 3.237716557796080363e-02
1.095000000000000107e+01 1.434819653507526160e+00
1.105000000000000071e+01 3.936949730190286711e+00
1.115000000000000213e+01 5.055381993751774772e+00
1.125000000000000178e+01 7.646407270661743638e+00
1.135000000000000142e+01 1.671116160181766563e+00
1.145000000000000107e+01 6.373189434819653831e-01
1.155000000000000071e+01 3.880147685316671424e+00
1.165000000000000213e+01 1.154217551831866029e+00
1.175000000000000178e+01 6.532235160465776902e-03
1.185000000000000142e+01 0.000000000000000000e+00
1.195000000000000107e+01 4.419199091167281823e-01
1.205000000000000071e+01 3.862539051405850632e+00
1.215000000000000213e+01 2.801192842942346051e+00
1.225000000000000178e+01 5.954274353876739312e+00
1.235000000000000142e+01 3.607497869923317335e+00
1.245000000000000107e+01 9.272933825617721837e-01
1.255000000000000071e+01 4.043453564328316041e+00
1.265000000000000213e+01 3.105367793240556562e+00
1.275000000000000178e+01 3.166714001704061143e+00
1.285000000000000142e+01 2.156773643851178424e+00
1.295000000000000107e+01 7.821641579096847430e+00
1.305000000000000071e+01 1.355012780460096655e+00
1.315000000000000213e+01 5.396194262993468140e-03
1.325000000000000178e+01 1.988071570576540551e-03
1.335000000000000142e+01 7.080374893496166333e-01
1.345000000000000107e+01 7.236580516898608373e+00
1.355000000000000071e+01 6.906844646407270361e+00
1.365000000000000213e+01 6.878443623970462717e+00
1.375000000000000178e+01 5.901732462368645127e-01
1.385000000000000142e+01 2.253905140585060973e+00
1.395000000000000107e+01 3.066458392502130259e+00
1.405000000000000071e+01 1.033797216699801291e+00
1.415000000000000213e+01 1.772507810281170215e+00
1.425000000000000178e+01 1.480829309855154818e+00
1.435000000000000142e+01 3.723942061914228940e+00
1.445000000000000107e+01 4.714569724510082604e-01
1.455000000000000071e+01 2.965066742402726607e-01
1.465000000000000213e+01 4.437375745526838777e+00
1.475000000000000178e+01 6.141153081510934086e+00
1.485000000000000142e+01 8.343368361261005006e+00
1.495000000000000107e+01 7.575404714569724085e+00
1.505000000000000071e+01 0.000000000000000000e+00
